gml_id,profile_id,dataset_id,continent,country_id,country_name,geom_accuracy,latitude,longitude,dsds,cfao_version,cfao_major_group_code,cfao_major_group,cfao_soil_unit_code,cfao_soil_unit,cwrb_version,cwrb_reference_soil_group_code,cwrb_reference_soil_group,cwrb_prefix_qualifier,cwrb_suffix_qualifier,cstx_version,cstx_order_name,cstx_suborder,cstx_great_group,cstx_subgroup,bdfi33,bdfiad,bdfifm,bdfiod,bdws33,bdwsod,cecph7,cecph8,cfgr,cfvo,clay,ecec,elco20,elco25,elco50,elcosp,nitkjd,orgc,orgm,phaq,phca,phetb1,phetm3,phetol,phkc,phnf,phprtn,phptot,phpwsl,sand,silt,tceq,totc,wg0006,wg0010,wg0033,wg0100,wg0200,wg0500,wg1500,wv0010,wv0033,wv0100,wv0500,wv1500
wosis_latest_profiles.68701,"68701",{WD-WISE},Americas,UY,Uruguay,0.1,-32.75,-57.58333333,"140","1974",V,Vertisol,p,Pellic,"2006",VR,Vertisol,,,"1960",Vertisol,Udert,Pelludert,Typic,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,true,true,false,true,false,false,false,false,true,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.68640,"68640",{WD-WISE},Americas,UY,Uruguay,0.1,-32.75,-55.08333333,"114","1974",A,Acrisol,o,Orthic,"2006",AC,Acrisol,,,"1960",Ultisol,Udult,Rhodudult,Typic,false,false,false,false,false,false,true,false,false,false,true,true,false,false,false,true,true,true,false,true,false,false,false,false,true,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.68611,"68611",{WD-WISE},Americas,UY,Uruguay,0.1,-31.25,-55.33333333,"150","1974",L,Luvisol,o,Orthic,"2006",LX,Lixisol,,,"1960",Alfisol,Udalf,Hapludalf,Albaquic,false,false,false,false,false,false,true,false,false,false,true,true,false,false,false,true,true,true,false,true,false,false,false,false,true,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.68647,"68647",{WD-WISE},Americas,UY,Uruguay,0.1,-33.8,-53.66666667,"195","1974",G,Gleysol,m,Mollic,"2006",GL,Gleysol,,,"1960",Mollisol,Aquoll,Haplaquoll,Typic,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,true,true,false,true,false,false,false,false,true,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.68707,"68707",{WD-WISE},Americas,UY,Uruguay,1,-34.5,-56,"60","1974",H,Phaeozem,h,Haplic,"2006",PH,Phaeozem,,,"1960",Mollisol,Udoll,Hapludoll,Typic,false,false,false,false,false,false,true,false,false,true,true,true,false,false,false,true,true,true,false,true,false,false,false,false,true,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.68648,"68648",{WD-WISE},Americas,UY,Uruguay,0.1,-31.5,-54.75,"25","1974",R,Regosol,e,Eutric,"2006",LP,Leptosol,,,"1960",Entisol,Orthent,Udorthent,Lithic,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,true,true,false,true,false,false,false,false,true,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.70847,"70847","{LAC-SOTER,WD-WISE}",Americas,UY,Uruguay,0.01,-34.59,-56.91972222,"150","1974",H,Phaeozem,l,Luvic,"2006",PH,Phaeozem,,,,Mollisol,Udoll,Argiudoll,Typic,false,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.68702,"68702",{WD-WISE},Americas,UY,Uruguay,0.1,-32.66666667,-57.83333333,"100","1974",H,Phaeozem,l,Luvic,"2006",PH,Phaeozem,,,"1960",Mollisol,Udoll,Argiudoll,Aquic,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,true,true,false,true,false,false,false,false,true,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.68657,"68657",{WD-WISE},Americas,UY,Uruguay,0.1,-34.75,-56.53333333,"105","1974",H,Phaeozem,g,Gleyic,"2006",PH,Phaeozem,,,"1960",Mollisol,Aquoll,Argiaquoll,Typic,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,true,true,false,true,false,false,false,false,true,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false
wosis_latest_profiles.68693,"68693",{WD-WISE},Americas,UY,Uruguay,0.1,-30.83333333,-56.83333333,"111","1974",W,Planosol,m,Mollic,"2006",PL,Planosol,,,"1960",Mollisol,Aquoll,Argiaquoll,Abruptic,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,true,true,false,true,false,false,false,false,true,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false
